type,properties/name,properties/description,properties/link,properties/code,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Early Port of Superior,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: July 10, 2014.",http://coord.info/GC58KZE,GC58KZE,Point,-92.0467667,46.70685
Feature,Lighthouses of Superior Entry,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: July 10, 2014.",http://coord.info/GC58M13,GC58M13,Point,-92.0170667,46.7045
Feature,Ore Docks of Superior,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: July 10, 2014.",http://coord.info/GC58M1P,GC58M1P,Point,-92.02885,46.6946
Feature,Anchors Aweigh Milwaukee,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 15, 2015.",http://coord.info/GC5VJX2,GC5VJX2,Point,-87.8857667,43.0519833
Feature,Early Port of Milwaukee,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 15, 2015.",http://coord.info/GC5VJZ1,GC5VJZ1,Point,-87.8971667,43.0368333
Feature,Wreck of the Wooden Paddlewheel Steamer Sebastopol,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 16, 2015.",http://coord.info/GC5VKQA,GC5VKQA,Point,-87.8695833,42.98675
Feature,A Davidson Goliath,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 16, 2015.",http://coord.info/GC5VKTK,GC5VKTK,Point,-87.8732167,43.0912167
Feature,Protecting the Port,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 16, 2015.",http://coord.info/GC5VKTP,GC5VKTP,Point,-87.8890167,43.0013
Feature,Milwaukee's Aids to Navigation,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 18, 2015.",http://coord.info/GC5VT5R,GC5VT5R,Point,-87.8709,43.0654833
Feature,Anchors Aweigh Sheboygan,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 31, 2016.",http://coord.info/GC6JXF6,GC6JXF6,Point,-87.7175667,43.7142333
Feature,Sheboygan Lifesavers,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 31, 2016.",http://coord.info/GC6JXGH,GC6JXGH,Point,-87.7065167,43.7482167
Feature,Sheboygan Shipbuilders,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 31, 2016.",http://coord.info/GC6JXHG,GC6JXHG,Point,-87.70685,43.7482167
Feature,Sheboygan Shipwrecks,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: May 31, 2016.",http://coord.info/GC6JXJC,GC6JXJC,Point,-87.7039,43.7483667
Feature,Port Washington Commercial Fishing Traditions,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: June 1, 2016.",http://coord.info/GC6JZ38,GC6JZ38,Point,-87.8654167,43.3900167
Feature,Anchors Away Port Washington,"Geocaches that share Wisconsin's maritime history were created by the Wisconsin Historical Society. This geocache was first hidden on: June 1, 2016.",http://coord.info/GC6JZ2X,GC6JZ2X,Point,-87.8746333,43.3845833
