type,properties/name,properties/description,properties/readMore,properties/ships/0/name,properties/ships/0/type,properties/ships/0/launched,properties/ships/0/wrecked,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/ships/1/name,properties/ships/1/type,properties/ships/1/launched,properties/ships/1/wrecked,properties/ships/2/name,properties/ships/2/type,properties/ships/2/launched,properties/ships/2/wrecked
Feature,Meridian,A formidable ice storm claims the work of a redoubtable shipbuilding family.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/433'>Meridian</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Meridian,Schooner,1848,1873,Point,-87.1412167,45.2216667,,,,,,,,
Feature,Niagara,A premier 'palace steamer' lost to a devastating fire.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/455'>Niagara</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Niagara,Steamer,1846,1856,Point,-87.7748333,43.4885,,,,,,,,
Feature,The Pilot Island Wrecks,The infamous Death's Door passage piles three schooners into a jumbled heap of timbers.,"Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/2'>A.P. Nichols</a>, the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/211'>Forest</a>, and the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/300'>J.E. Gilmore</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.",A.P. Nichols,Schooner,1861,1891,Point,-86.918667,45.285,Forest,Schooner,1857,1892,J.E. Gilmore,Schooner,1867,1892
Feature,Rosinco,Lake Michigan's first diesel luxury yacht still evokes the flamboyance of the Roaring Twenties.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/539'>Rosinco</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Rosinco,Diesel Yacht,1916,1928,Point,-87.6275,42.6252778,,,,,,,,
Feature,Tennie and Laura,A punishing storm puts a two-man crew to the ultimate test.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/602'>Tennie and Laura</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>,Tennie and Laura,Scow Schooner,1876,1903,Point,-87.7075,43.26505555555556,,,,,,,,
Feature,Wisconsin,"The young Henry Ford may have helped build this innovative, early steel-hulled steamer, but the only cars remaining in her hold are a Chevrolet, Hudson, and an Essex.",Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/650'>Wisconsin</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Wisconsin,Steamer,1881,1929,Point,-87.7075,42.53,,,,,,,,
Feature,Fedora,A kerosene lamp and an unfortunate design sealed the fate of this wooden steamer.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/199'>Fedora</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Fedora,Steamer,1889,1901,Point,-90.7784833,46.8598,,,,,,,,
Feature,Lucerne,A staunch vessel lost to a vicious nor'easter.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/386'>Lucerne</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Lucerne,Schooner,1873,1886,Point,-90.76725,46.72315,,,,,,,,
Feature,Noquebay,A stealthy blaze broke out in the bow as the crew lunched unaware.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/458'>Noquebay</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Noquebay,Schooner-Barge,1872,1905,Point,-90.5452833,46.9261333,,,,,,,,
Feature,Ottawa,"The Ottawa fought valiantly for a week to save a burning steamer, only to be consumed herself by a ravaging fire.",Read more about the <a href='http://www.wisconsinshipwrecks.org/explore_ottawa_intro.cfm'>Ottawa</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Ottawa,Tug,1881,1909,Point,-90.76356669999998,46.8829667,,,,,,,,
Feature,Pretoria,A colossal ship rendered helpless by a ferocious storm.,Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/509'>Pretoria</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Pretoria,Schooner-Barge,1900,1905,Point,-90.3943333,47.0893333,,,,,,,,
Feature,Sevona,"A Lake Superior nor'easter forced this steel steamer hard aground, ripping a gaping hole in her bow.",Read more about the <a href='http://www.wisconsinshipwrecks.org/Vessel/Details/565'>Sevona</a> at <a href='http://www.wisconsinshipwrecks.org/'>WisconsinShipwrecks.org</a>.,Sevona,Steamer,1890,1905,Point,-90.90555555555557,47.01338888888889,,,,,,,,
